        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.77000000e+00,        +1.414213562373e-01,        +1.797001426205e-01,        +2.258495075716e-02
 2.80000000e+00,        +1.414213562373e-01,        +1.824139646025e-01,        +2.329731635302e-02
 2.83000000e+00,        +1.414213562373e-01,        +1.850649855275e-01,        +2.338714463807e-02
 2.86000000e+00,        +1.414213562373e-01,        +1.875313122579e-01,        +2.294203718044e-02
 2.89000000e+00,        +1.414213562373e-01,        +1.897317106362e-01,        +2.205992799490e-02
 2.92000000e+00,        +1.414213562373e-01,        +1.916181195690e-01,        +2.083655876676e-02
 2.95000000e+00,        +1.414213562373e-01,        +1.931666349054e-01,        +1.935858921778e-02
 2.98000000e+00,        +1.414213562373e-01,        +1.943689518064e-01,        +1.770126067691e-02
 3.01000000e+00,        +1.414213562373e-01,        +1.952255425993e-01,        +1.592951421025e-02
 3.04000000e+00,        +1.414213562373e-01,        +1.957415873913e-01,        +1.410135578655e-02
 3.07000000e+00,        +1.414213562373e-01,        +1.959264024940e-01,        +1.227177456903e-02
 3.10000000e+00,        +1.414213562373e-01,        +1.957961865041e-01,        +1.049479651117e-02
 3.13000000e+00,        +1.414213562373e-01,        +1.953778603346e-01,        +8.821280493309e-03
 3.16000000e+00,        +1.414213562373e-01,        +1.947096552490e-01,        +7.292430316195e-03
 3.19000000e+00,        +1.414213562373e-01,        +1.938349954775e-01,        +5.933410831228e-03
