        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 2.89000000e+00,        +2.347601551087e-01,        +2.433505154491e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.92000000e+00,        +2.331194890502e-01,        +2.411500942858e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.95000000e+00,        +2.322083695757e-01,        +2.395934770887e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.98000000e+00,        +2.320020567499e-01,        +2.386869283120e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.01000000e+00,        +2.324730859243e-01,        +2.384289005223e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.04000000e+00,        +2.335903729635e-01,        +2.388106364069e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.07000000e+00,        +2.353125909579e-01,        +2.398111572742e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+00,        +2.375782100237e-01,        +2.413881441099e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.13000000e+00,        +2.402983355420e-01,        +2.434700379213e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.16000000e+00,        +2.433599436970e-01,        +2.459570536646e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.19000000e+00,        +2.466414773165e-01,        +2.487347165727e-01,        +0.000000000000e+00,        +0.000000000000e+00
