        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.55000000e+00,        +5.150455209012e-02,        +5.255571567686e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +5.328411587460e-02,        +5.345772836475e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.65000000e+00,        +5.537152103310e-02,        +5.466066661280e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +5.780835015521e-02,        +5.620445254026e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.75000000e+00,        +6.064580781311e-02,        +5.813875601851e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e+00,        +6.394690396972e-02,        +6.052532149984e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.85000000e+00,        +6.778920567805e-02,        +6.344093551104e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +7.226827442197e-02,        +6.698118977067e-02,        +0.000000000000e+00,        +0.000000000000e+00
 5.95000000e+00,        +7.750189523536e-02,        +7.126520269164e-02,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +8.363514225216e-02,        +7.644142899954e-02,        +0.000000000000e+00,        +0.000000000000e+00
 6.05000000e+00,        +9.084615287325e-02,        +8.269455631886e-02,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +9.935207839072e-02,        +9.025314126274e-02,        +0.000000000000e+00,        +0.000000000000e+00
 6.15000000e+00,        +1.094138102982e-01,        +9.939684236036e-02,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +1.213363243978e-01,        +1.104604220835e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.25000000e+00,        +1.354581325460e-01,        +1.238283476800e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e+00,        +1.521174223650e-01,        +1.399076895929e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.35000000e+00,        +1.715733958652e-01,        +1.590571001466e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e+00,        +1.938513367987e-01,        +1.814374486904e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.45000000e+00,        +2.184808611927e-01,        +2.067460583864e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +2.441411012642e-01,        +2.338342532095e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.55000000e+00,        +2.683647081642e-01,        +2.603437064135e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e+00,        +2.876747197612e-01,        +2.827379305132e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.65000000e+00,        +2.985772898446e-01,        +2.972077964274e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e+00,        +2.992490385487e-01,        +3.013932640381e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.75000000e+00,        +2.907514861735e-01,        +2.957945526609e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e+00,        +2.766021067014e-01,        +2.835777528570e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.85000000e+00,        +2.610342802265e-01,        +2.689313466953e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.90000000e+00,        +2.473454539282e-01,        +2.553451898949e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.95000000e+00,        +2.371602542499e-01,        +2.447420907591e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.305049217719e-01,        +2.374426483176e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.05000000e+00,        +2.263781885195e-01,        +2.326643044280e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.10000000e+00,        +2.235947048546e-01,        +2.293291075686e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.15000000e+00,        +2.215049896167e-01,        +2.267968357428e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.20000000e+00,        +2.201162917392e-01,        +2.250416919757e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.25000000e+00,        +2.196440667971e-01,        +2.242565620977e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.30000000e+00,        +2.200273636332e-01,        +2.243813536550e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.35000000e+00,        +2.208336534917e-01,        +2.249867875147e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.40000000e+00,        +2.216373090559e-01,        +2.256268282645e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.45000000e+00,        +2.225088860291e-01,        +2.263353837922e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e+00,        +2.238603441191e-01,        +2.275198912865e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.55000000e+00,        +2.257314367592e-01,        +2.292671201298e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.60000000e+00,        +2.277375810996e-01,        +2.312399882384e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.65000000e+00,        +2.296475163151e-01,        +2.332160167668e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.70000000e+00,        +2.312624299520e-01,        +2.349807898481e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.75000000e+00,        +2.320258162892e-01,        +2.359376382753e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.80000000e+00,        +2.314780617923e-01,        +2.355549619766e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.85000000e+00,        +2.298817055788e-01,        +2.340284367549e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.90000000e+00,        +2.282704611992e-01,        +2.323660743997e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.95000000e+00,        +2.282317748226e-01,        +2.321722921573e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.309735249039e-01,        +2.347210916926e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.05000000e+00,        +2.356491967018e-01,        +2.392486982327e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.10000000e+00,        +2.398063146222e-01,        +2.432750602833e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.15000000e+00,        +2.433897177841e-01,        +2.465726772798e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.20000000e+00,        +2.504565234632e-01,        +2.531055458260e-01,        +0.000000000000e+00,        +0.000000000000e+00
